[2023-3-22 14:37:59] 	 ⚡: RP6-R9SiRJRUUyaAAAAB connected
[2023-3-22 16:31:14] 	 🟠: Subhan went offline
[2023-3-22 16:31:14] 	 🟢: Subhan went online
[2023-3-22 16:31:15] 	 ⚡: EeTZlgjD-uq7pXx-AAAF connected
[2023-3-22 16:31:17] 	 🟢: Subhan went online
[2023-3-22 16:31:18] 	 🟠: Subhan went offline
[2023-3-22 16:31:18] 	 🟢: Deus3 went online
[2023-3-22 16:31:19] 	 🟠: Subhan went offline
[2023-3-22 16:31:20] 	 🟠: Deus3 went offline
[2023-3-22 16:31:26] 	 🟢: Subhan went online
[2023-3-22 16:31:29] 	 🟢: Subhan went online
[2023-3-22 16:31:30] 	 🟠: Subhan went offline
[2023-3-22 16:31:31] 	 🟢: Deus3 went online
[2023-3-22 16:31:32] 	 🟠: Subhan went offline
[2023-3-22 16:31:33] 	 🟠: Deus3 went offline
[2023-3-22 16:31:33] 	 🟢: Subhan2 went online
[2023-3-22 16:31:35] 	 🟢: Subhan went online
[2023-3-22 16:31:36] 	 🟠: Subhan2 went offline
[2023-3-22 16:31:36] 	 🟠: Subhan went offline
[2023-3-22 16:31:57] 	 🟢: Subhan went online
[2023-3-22 16:31:58] 	 🔥: vAqc1qO-r24hzBNvAAAD disconnected
[2023-3-22 16:32:30] 	 ⚡: 0UBv8YTylGXyuI_0AAAC connected
[2023-3-22 16:32:30] 	 ⚡: J1AfyogPLD-EYuCOAAAD connected
[2023-3-22 16:32:30] 	 ⚡: _4XhOu9UZU-80zENAAAF connected
[2023-3-22 16:32:30] 	 🔃: Subhan rejoined f5cf55
[2023-3-22 16:32:33] 	 🔥: _4XhOu9UZU-80zENAAAF disconnected
[2023-3-22 16:32:33] 	 ➖: Subhan left f5cf55
[2023-3-22 16:32:42] 	 ⚡: dsz0_roj6M-R-5DDAAAH connected
[2023-3-22 16:32:42] 	 🔃: Subhan rejoined f5cf55
[2023-3-22 16:32:43] 	 🟢: Deus3 went online
[2023-3-22 16:32:44] 	 🟢: Subhan2 went online
[2023-3-22 16:32:44] 	 🟠: Subhan went offline
[2023-3-22 16:32:45] 	 🔥: J1AfyogPLD-EYuCOAAAD disconnected
[2023-3-22 16:32:45] 	 🟠: Deus3 went offline
[2023-3-22 16:32:45] 	 🟢: Deus3 went online
[2023-3-22 16:32:46] 	 🔥: 0UBv8YTylGXyuI_0AAAC disconnected
[2023-3-22 16:32:47] 	 ⚡: 971Id0PFSkOZUn-2AAAJ connected
[2023-3-22 16:32:47] 	 🔃: Deus3 rejoined f5cf55
[2023-3-22 16:32:48] 	 ⚡: loSzCbYjdwoOiJpDAAAL connected
[2023-3-22 16:32:49] 	 🟠: Deus3 went offline
[2023-3-22 16:32:52] 	 🟢: Subhan went online
[2023-3-22 16:32:52] 	 🔥: dsz0_roj6M-R-5DDAAAH disconnected
[2023-3-22 16:32:52] 	 ➖: Subhan left f5cf55
[2023-3-22 16:32:55] 	 ⚡: teeLAjGB0Bf34o5pAAAN connected
[2023-3-22 16:32:55] 	 🔃: Subhan rejoined f5cf55
[2023-3-22 16:32:58] 	 🔥: teeLAjGB0Bf34o5pAAAN disconnected
[2023-3-22 16:32:58] 	 ➖: Subhan left f5cf55
[2023-3-22 16:33:5] 	 🟢: Deus3 went online
[2023-3-22 16:33:7] 	 ⚡: wP5kf0nAPWXhdpiGAAAP connected
[2023-3-22 16:33:7] 	 🔃: Subhan rejoined f5cf55
[2023-3-22 16:33:7] 	 🟠: Deus3 went offline
[2023-3-22 16:33:8] 	 🟢: Deus3 went online
[2023-3-22 16:33:9] 	 🟠: Subhan went offline
[2023-3-22 16:33:10] 	 🟢: Subhan went online
[2023-3-22 16:33:11] 	 🟠: Deus3 went offline
[2023-3-22 16:33:12] 	 🔥: wP5kf0nAPWXhdpiGAAAP disconnected
[2023-3-22 16:33:12] 	 ➖: Subhan left f5cf55
[2023-3-22 16:33:15] 	 🟢: Deus3 went online
[2023-3-22 16:33:16] 	 🔥: 971Id0PFSkOZUn-2AAAJ disconnected
[2023-3-22 16:33:16] 	 ➖: Deus3 left f5cf55
[2023-3-22 16:33:17] 	 ⚡: RNRoahYrtnBVsoIQAAAR connected
[2023-3-22 16:33:17] 	 🔃: Subhan rejoined f5cf55
[2023-3-22 16:33:21] 	 🔥: loSzCbYjdwoOiJpDAAAL disconnected
[2023-3-22 16:33:22] 	 🟠: Subhan went offline
[2023-3-22 16:33:25] 	 🟢: Subhan went online
[2023-3-22 16:33:27] 	 🟠: Subhan went offline
[2023-3-22 16:33:38] 	 ⚡: doOoyb99nNsotlwwAAAB connected
[2023-3-22 16:33:40] 	 🟢: Subhan went online
[2023-3-22 16:33:41] 	 🔥: doOoyb99nNsotlwwAAAB disconnected
[2023-3-22 16:33:48] 	 ⚡: XLxr3YleEhJSglsTAAAB connected
[2023-3-22 16:33:48] 	 🔃: Subhan rejoined f5cf55
[2023-3-22 16:33:49] 	 🔥: XLxr3YleEhJSglsTAAAB disconnected
[2023-3-22 16:33:50] 	 ➖: Subhan left f5cf55
[2023-3-22 16:34:7] 	 ⚡: BGW9jOyimthM4Cp4AAAB connected
[2023-3-22 16:34:7] 	 🔃: Subhan rejoined f5cf55
[2023-3-22 16:34:8] 	 🔥: BGW9jOyimthM4Cp4AAAB disconnected
[2023-3-22 16:34:8] 	 ➖: Subhan left f5cf55
[2023-3-22 16:34:11] 	 ⚡: e9fpfB2ijQa2Ppx8AAAD connected
[2023-3-22 16:34:11] 	 🔃: Subhan rejoined f5cf55
[2023-3-22 16:34:12] 	 🔥: e9fpfB2ijQa2Ppx8AAAD disconnected
[2023-3-22 16:34:12] 	 ➖: Subhan left f5cf55
[2023-3-22 16:34:24] 	 ⚡: FaOpb744pGoz770WAAAF connected
[2023-3-22 16:34:24] 	 🔃: Subhan rejoined f5cf55
[2023-3-22 16:34:27] 	 🟠: Subhan went offline
[2023-3-22 16:34:30] 	 ⚡: LBdOdq8puSblAf4IAAAH connected
[2023-3-22 16:34:30] 	 ➕: Asssss joined f5cf55
[2023-3-22 16:34:31] 	 🟢: Subhan went online
[2023-3-22 16:34:32] 	 🟠: Asssss went offline
[2023-3-22 16:34:33] 	 🔥: FaOpb744pGoz770WAAAF disconnected
[2023-3-22 16:34:33] 	 ➖: Subhan left f5cf55
[2023-3-22 16:34:35] 	 ⚡: L63Psx-YZUMNW52QAAAJ connected
[2023-3-22 16:34:36] 	 🔃: Subhan rejoined f5cf55
[2023-3-22 16:34:37] 	 🔥: L63Psx-YZUMNW52QAAAJ disconnected
[2023-3-22 16:34:37] 	 ➖: Subhan left f5cf55
[2023-3-22 16:34:39] 	 ⚡: l1rSyEVt8xFlK0HxAAAL connected
[2023-3-22 16:34:39] 	 🔃: Subhan rejoined f5cf55
[2023-3-22 16:34:43] 	 🟠: Subhan went offline
[2023-3-22 16:35:17] 	 ⚡: YwsbJJyUKee1UMXWAAAB connected
[2023-3-22 16:35:18] 	 ⚡: 8V8JGmxvWcbSIZlZAAAD connected
[2023-3-22 16:36:0] 	 ⚡: 2d7QsaPT0FTQykrPAAAB connected
[2023-3-22 16:36:0] 	 ⚡: 1c0XjH5fe1_SVNk6AAAD connected
[2023-3-22 16:36:10] 	 ⚡: lUzAQLTW8qcK74twAAAB connected
[2023-3-22 16:36:11] 	 ⚡: 2uBBuxC3e9jyM8LOAAAD connected
[2023-3-22 16:36:38] 	 ⚡: B7R3CkTZjOehgjkuAAAB connected
[2023-3-22 16:36:38] 	 ⚡: P4FSKlBSP3ZO4B7PAAAD connected
[2023-3-22 16:36:47] 	 ⚡: ZMCiAtCGoeU1Nf4iAAAB connected
[2023-3-22 16:36:47] 	 ⚡: k6ibDl-TZFi9vNFoAAAD connected
[2023-3-22 16:36:49] 	 🟢: Subhan went online
[2023-3-22 16:36:50] 	 🔥: k6ibDl-TZFi9vNFoAAAD disconnected
[2023-3-22 16:36:51] 	 🟢: Asssss went online
[2023-3-22 16:36:51] 	 🔥: ZMCiAtCGoeU1Nf4iAAAB disconnected
[2023-3-22 16:36:57] 	 ⚡: EpRJVH1xC9kzsOOcAAAF connected
[2023-3-22 16:36:57] 	 🔃: Asssss rejoined f5cf55
[2023-3-22 16:36:58] 	 🟠: Asssss went offline
[2023-3-22 16:37:0] 	 ⚡: sJ-FwoBizdxFnspOAAAH connected
[2023-3-22 16:37:0] 	 ➕: Subhan joined 785044
[2023-3-22 16:37:1] 	 🟢: Asssss went online
[2023-3-22 16:37:1] 	 ➖: undefined left undefined
[2023-3-22 16:37:1] 	 🔥: EpRJVH1xC9kzsOOcAAAF disconnected
[2023-3-22 16:37:2] 	 🟠: Subhan went offline
[2023-3-22 16:37:3] 	 🟢: Subhan went online
[2023-3-22 16:37:5] 	 🟠: Subhan went offline
[2023-3-22 16:37:10] 	 ⚡: cBymr9w_E5rosS66AAAJ connected
[2023-3-22 16:37:10] 	 ➕: Deus joined 785044
[2023-3-22 16:37:12] 	 🟠: Deus went offline
[2023-3-22 16:37:13] 	 ⚡: VtGakSxd-_X7aiETAAAL connected
[2023-3-22 16:37:13] 	 ➕: Haque joined 785044
[2023-3-22 16:37:16] 	 🟠: Haque went offline
[2023-3-22 16:37:18] 	 🟢: Haque went online
[2023-3-22 16:37:20] 	 🟠: Haque went offline
[2023-3-22 16:37:21] 	 🟢: Subhan went online
[2023-3-22 16:37:23] 	 🟠: Subhan went offline
[2023-3-22 16:37:43] 	 🟢: Subhan went online
[2023-3-22 16:37:44] 	 💰: Paid salary to Deus
[2023-3-22 16:37:47] 	 🟠: Subhan went offline
[2023-3-22 16:37:54] 	 🟢: Subhan went online
[2023-3-22 16:37:55] 	 🔥: sJ-FwoBizdxFnspOAAAH disconnected
[2023-3-22 16:37:55] 	 ➖: Subhan left 785044
[2023-3-22 16:37:56] 	 🟢: Haque went online
[2023-3-22 16:37:57] 	 🔥: VtGakSxd-_X7aiETAAAL disconnected
[2023-3-22 16:37:57] 	 ➖: Haque left 785044
[2023-3-22 16:37:58] 	 🟢: Deus went online
[2023-3-22 16:37:58] 	 🔥: cBymr9w_E5rosS66AAAJ disconnected
[2023-3-22 16:37:58] 	 ➖: Deus left 785044
[2023-3-22 16:38:0] 	 ⚡: x1apZSWImuhcRfPtAAAN connected
[2023-3-22 16:38:0] 	 🔃: Subhan rejoined 785044
[2023-3-22 16:38:2] 	 🟢: Subhan went online
[2023-3-22 16:38:3] 	 🟠: Subhan went offline
[2023-3-22 16:38:4] 	 ⚡: VPlogmaGSGIGn8psAAAP connected
[2023-3-22 16:38:4] 	 🔃: Haque rejoined 785044
[2023-3-22 16:38:4] 	 🟠: Subhan went offline
[2023-3-22 16:38:5] 	 🟢: Subhan went online
[2023-3-22 16:38:6] 	 🟠: Haque went offline
[2023-3-22 16:38:7] 	 🟠: Subhan went offline
[2023-3-22 16:38:11] 	 ⚡: yY4OCJGqUF8bzA1YAAAR connected
[2023-3-22 16:38:11] 	 ➕: Misss joined 785044
[2023-3-22 16:38:12] 	 🟢: Subhan went online
[2023-3-22 16:38:13] 	 🟠: Misss went offline
[2023-3-22 16:38:14] 	 🟢: Misss went online
[2023-3-22 16:38:14] 	 🔥: yY4OCJGqUF8bzA1YAAAR disconnected
[2023-3-22 16:38:14] 	 ➖: Misss left 785044
[2023-3-22 16:38:15] 	 🟠: Subhan went offline
[2023-3-22 16:38:17] 	 ⚡: Wa4VHqoaBabzW0ryAAAT connected
[2023-3-22 16:38:17] 	 🔃: Misss rejoined 785044
[2023-3-22 16:38:20] 	 🟠: Misss went offline
[2023-3-22 16:38:22] 	 🟢: Subhan went online
[2023-3-22 16:38:25] 	 🟠: Subhan went offline
[2023-3-22 16:38:47] 	 🟢: Misss went online
[2023-3-22 16:38:47] 	 ➖: Misss left 785044
[2023-3-22 16:38:47] 	 🔥: Wa4VHqoaBabzW0ryAAAT disconnected
[2023-3-22 16:38:49] 	 ⚡: XlHqn-tV8rJJ84pYAAAV connected
[2023-3-22 16:38:49] 	 🔃: Misss rejoined 785044
[2023-3-22 16:38:51] 	 🟢: Subhan went online
[2023-3-22 16:38:51] 	 🔥: x1apZSWImuhcRfPtAAAN disconnected
[2023-3-22 16:38:51] 	 ➖: Subhan left 785044
[2023-3-22 16:38:52] 	 🟠: Misss went offline
[2023-3-22 16:38:54] 	 ⚡: 3THGThOf-s6UfsCjAAAX connected
[2023-3-22 16:38:54] 	 🔃: Subhan rejoined 785044
[2023-3-22 16:38:57] 	 🟢: Misss went online
[2023-3-22 16:38:58] 	 🟠: Subhan went offline
[2023-3-22 16:39:0] 	 🟢: Subhan went online
[2023-3-22 16:39:1] 	 🟠: Misss went offline
[2023-3-22 16:39:1] 	 🟠: Subhan went offline
[2023-3-22 16:39:19] 	 🟢: Subhan went online
[2023-3-22 16:39:20] 	 🔥: 3THGThOf-s6UfsCjAAAX disconnected
[2023-3-22 16:39:20] 	 ➖: Subhan left 785044
[2023-3-22 16:39:22] 	 ⚡: 088SWCUPeQNNuJhKAAAZ connected
[2023-3-22 16:39:22] 	 🔃: Subhan rejoined 785044
[2023-3-22 16:39:23] 	 🟢: Misss went online
[2023-3-22 16:39:24] 	 🟠: Subhan went offline
[2023-3-22 16:39:24] 	 🔥: XlHqn-tV8rJJ84pYAAAV disconnected
[2023-3-22 16:39:24] 	 ➖: Misss left 785044
[2023-3-22 16:39:26] 	 ⚡: T5Y2JwdpbbJrGf7TAAAb connected
[2023-3-22 16:39:26] 	 🔃: Misss rejoined 785044
[2023-3-22 16:39:27] 	 🟢: Subhan went online
[2023-3-22 16:39:28] 	 🟠: Misss went offline
[2023-3-22 16:39:28] 	 🟠: Subhan went offline
[2023-3-22 16:39:32] 	 🟢: Misss went online
[2023-3-22 16:39:34] 	 🟠: Misss went offline
[2023-3-22 16:40:3] 	 🟢: Subhan went online
[2023-3-22 16:40:4] 	 🔥: 088SWCUPeQNNuJhKAAAZ disconnected
[2023-3-22 16:40:4] 	 ➖: Subhan left 785044
[2023-3-22 16:40:6] 	 ⚡: oj9o7HyPqktqcKdpAAAd connected
[2023-3-22 16:40:6] 	 🔃: Subhan rejoined 785044
[2023-3-22 16:40:8] 	 🟠: Subhan went offline
[2023-3-22 16:40:9] 	 🟢: Subhan went online
[2023-3-22 16:40:12] 	 🟠: Subhan went offline
[2023-3-22 16:40:13] 	 🟢: Misss went online
[2023-3-22 16:40:13] 	 🔥: T5Y2JwdpbbJrGf7TAAAb disconnected
[2023-3-22 16:40:13] 	 ➖: Misss left 785044
[2023-3-22 16:40:15] 	 ⚡: Tecvi1LkHM3f6UTJAAAf connected
[2023-3-22 16:40:15] 	 🔃: Misss rejoined 785044
[2023-3-22 16:40:18] 	 🟠: Misss went offline
[2023-3-22 16:40:18] 	 🟢: Haque went online
[2023-3-22 16:40:20] 	 🟠: Haque went offline
[2023-3-22 16:41:2] 	 🟢: Haque went online
[2023-3-22 16:41:3] 	 🟢: Subhan went online
[2023-3-22 16:41:3] 	 🔥: oj9o7HyPqktqcKdpAAAd disconnected
[2023-3-22 16:41:3] 	 ➖: Subhan left 785044
[2023-3-22 16:41:4] 	 🟠: Haque went offline
[2023-3-22 16:41:4] 	 🟢: Haque went online
[2023-3-22 16:41:4] 	 🔥: VPlogmaGSGIGn8psAAAP disconnected
[2023-3-22 16:41:4] 	 ➖: Haque left 785044
[2023-3-22 16:41:6] 	 ⚡: wZSZLcR3H7owDgAGAAAh connected
[2023-3-22 16:41:6] 	 🔃: Subhan rejoined 785044
[2023-3-22 16:41:8] 	 ⚡: EYQvFeFGRFt-worRAAAj connected
[2023-3-22 16:41:8] 	 🔃: Misss rejoined 785044
[2023-3-22 16:41:8] 	 🟠: Subhan went offline
[2023-3-22 16:41:9] 	 🔥: Tecvi1LkHM3f6UTJAAAf disconnected
[2023-3-22 16:41:10] 	 🟠: Misss went offline
[2023-3-22 16:41:10] 	 ⚡: 9fIEj-bZyxul_DggAAAl connected
[2023-3-22 16:41:10] 	 🔃: Misss rejoined 785044
[2023-3-22 16:41:12] 	 🔥: 9fIEj-bZyxul_DggAAAl disconnected
[2023-3-22 16:41:12] 	 ➖: Misss left 785044
[2023-3-22 16:41:14] 	 ⚡: VVpbMcOr5nyB4I1CAAAn connected
[2023-3-22 16:41:14] 	 🔃: Misss rejoined 785044
[2023-3-22 16:41:15] 	 🟢: Subhan went online
[2023-3-22 16:41:16] 	 🟠: Misss went offline
[2023-3-22 16:41:17] 	 🔥: EYQvFeFGRFt-worRAAAj disconnected
[2023-3-22 16:41:17] 	 🟠: Subhan went offline
[2023-3-22 16:41:19] 	 ⚡: 1qIs75KPwj35TpK6AAAp connected
[2023-3-22 16:41:19] 	 🔃: Misss rejoined 785044
[2023-3-22 16:41:20] 	 🟢: Subhan went online
[2023-3-22 16:41:21] 	 🟠: Misss went offline
[2023-3-22 16:41:21] 	 💰: Paid salary to Misss
[2023-3-22 16:41:21] 	 💰: Paid salary to Misss
[2023-3-22 16:41:22] 	 💰: Paid salary to Subhan
[2023-3-22 16:41:23] 	 💰: Paid salary to Subhan
[2023-3-22 16:41:24] 	 🔥: VVpbMcOr5nyB4I1CAAAn disconnected
[2023-3-22 16:41:25] 	 🟠: Subhan went offline
[2023-3-22 16:41:27] 	 ⚡: Qbe2y8YlxDo8Eyd6AAAr connected
[2023-3-22 16:41:27] 	 🔃: Misss rejoined 785044
[2023-3-22 16:41:29] 	 🔥: 1qIs75KPwj35TpK6AAAp disconnected
[2023-3-22 16:41:29] 	 🟠: Misss went offline
[2023-3-22 16:41:30] 	 ⚡: Pdt1XUavlpeNcbyaAAAt connected
[2023-3-22 16:41:30] 	 🔃: Misss rejoined 785044
[2023-3-22 16:41:33] 	 🟠: Misss went offline
[2023-3-22 16:41:34] 	 🔥: Qbe2y8YlxDo8Eyd6AAAr disconnected
[2023-3-22 16:41:34] 	 🟢: Misss went online
[2023-3-22 16:41:36] 	 🟢: Misss went online
[2023-3-22 16:41:36] 	 🟠: Misss went offline
[2023-3-22 16:41:36] 	 🔥: Pdt1XUavlpeNcbyaAAAt disconnected
[2023-3-22 16:41:36] 	 ➖: Misss left 785044
[2023-3-22 16:41:38] 	 🟢: Subhan went online
[2023-3-22 16:41:38] 	 🔥: wZSZLcR3H7owDgAGAAAh disconnected
[2023-3-22 16:41:38] 	 ➖: Subhan left 785044
[2023-3-22 16:41:41] 	 ⚡: S5q64f9J0IOBmXe7AAAv connected
[2023-3-22 16:41:41] 	 🔃: Subhan rejoined 785044
[2023-3-22 16:41:43] 	 💰: Paid salary to Subhan
[2023-3-22 16:41:44] 	 💰: Paid salary to Subhan
[2023-3-22 16:41:45] 	 💰: Paid salary to Subhan
[2023-3-22 16:41:50] 	 ➖: undefined left undefined
[2023-3-22 16:41:50] 	 🔥: S5q64f9J0IOBmXe7AAAv disconnected
[2023-3-22 16:42:1] 	 ⚡: oyqtHNkYgh-QcRnpAAAx connected
[2023-3-22 16:42:1] 	 ➕: Right joined 8b1557
[2023-3-22 16:42:4] 	 🟠: Right went offline
[2023-3-22 16:42:4] 	 🟢: Right went online
[2023-3-22 16:42:6] 	 🟠: Right went offline
[2023-3-22 16:42:10] 	 🟢: Right went online
[2023-3-22 16:42:11] 	 ➖: Right left 8b1557
[2023-3-22 16:42:11] 	 🔥: oyqtHNkYgh-QcRnpAAAx disconnected
[2023-3-22 16:42:13] 	 ⚡: g0i_4hQMQS-51GbIAAAz connected
[2023-3-22 16:42:13] 	 🔃: Right rejoined 8b1557
[2023-3-22 16:42:15] 	 🟠: Right went offline
[2023-3-22 16:42:16] 	 🟢: Right went online
[2023-3-22 16:42:18] 	 🟠: Right went offline
[2023-3-22 16:42:30] 	 ⚡: 8fDPWJVS-9OlI2CfAAA1 connected
[2023-3-22 16:42:30] 	 ➕: Bottom Left joined 8b1557
[2023-3-22 16:42:32] 	 🟠: Bottom Left went offline
[2023-3-22 16:42:34] 	 ⚡: 5OD5V3I-cmw1Y033AAA3 connected
[2023-3-22 16:42:34] 	 ➕: Top Left joined 8b1557
[2023-3-22 16:42:36] 	 🟢: Right went online
[2023-3-22 16:42:37] 	 🟠: Top Left went offline
[2023-3-22 16:42:40] 	 🟢: Bottom Left went online
[2023-3-22 16:42:41] 	 🟢: Top Left went online
[2023-3-22 16:42:41] 	 🟠: Right went offline
[2023-3-22 16:42:42] 	 🟠: Bottom Left went offline
[2023-3-22 16:42:44] 	 🟢: Right went online
[2023-3-22 16:42:45] 	 💰: Paid salary to Right
[2023-3-22 16:42:45] 	 🟠: Top Left went offline
[2023-3-22 16:42:46] 	 💰: Paid salary to Top Left
[2023-3-22 16:42:50] 	 💰: Paid salary to Bottom Left
[2023-3-22 16:42:58] 	 🟢: Top Left went online
[2023-3-22 16:42:59] 	 🟠: Right went offline
[2023-3-22 16:43:1] 	 🔔: Top Left sent trade request to  Bottom Left
[2023-3-22 16:43:3] 	 🟢: Bottom Left went online
[2023-3-22 16:43:3] 	 ✔️: Traded accepted 
[2023-3-22 16:43:4] 	 🟠: Top Left went offline
[2023-3-22 16:43:11] 	 🔥: 8fDPWJVS-9OlI2CfAAA1 disconnected
[2023-3-22 16:43:11] 	 ➖: Bottom Left left 8b1557
[2023-3-22 16:43:15] 	 ⚡: rExWEe8URi2DbWcCAAA5 connected
[2023-3-22 16:43:15] 	 🔃: Top Left rejoined 8b1557
[2023-3-22 16:43:22] 	 🔥: 5OD5V3I-cmw1Y033AAA3 disconnected
[2023-3-22 16:43:22] 	 🟢: Top Left went online
[2023-3-22 16:43:22] 	 🟠: Top Left went offline
[2023-3-22 16:43:23] 	 🔥: rExWEe8URi2DbWcCAAA5 disconnected
[2023-3-22 16:43:23] 	 ➖: Top Left left 8b1557
[2023-3-22 16:43:23] 	 🟢: Right went online
[2023-3-22 16:43:25] 	 🟠: Right went offline
[2023-3-22 16:44:25] 	 ⚡: Iu4YUGoNOvwJPTSOAAAB connected
[2023-3-22 16:44:32] 	 ⚡: 9tgnZX3cGHsoWxqNAAAB connected
[2023-3-22 16:44:58] 	 ⚡: H9wEQ8v97Uj2KXJ9AAAB connected
[2023-3-22 16:45:42] 	 ⚡: 4e5KWF8CwmJDeVAXAAAB connected
[2023-3-22 16:45:59] 	 ⚡: cN6Wndhc7yd8HQyWAAAB connected
[2023-3-22 16:46:6] 	 ⚡: x_wM9XlDzq1A5ILsAAAB connected
[2023-3-22 16:46:58] 	 ⚡: wX_Ih8JKOWmL3xkYAAAB connected
[2023-3-22 16:47:17] 	 ⚡: 69QLaMn4-0Eq4yDOAAAB connected
[2023-3-22 16:47:33] 	 ⚡: 9fBQ2iAQ6KMVza1MAAAB connected
[2023-3-22 16:47:53] 	 ⚡: sVu7Nwt6ZojhCchoAAAB connected
[2023-3-22 16:48:12] 	 ⚡: fvYwhIJ-d6e8xHr3AAAB connected
[2023-3-22 16:48:15] 	 ⚡: s3l4ijf71Nxci3PMAAAB connected
[2023-3-22 16:48:33] 	 ⚡: KA-d--FAv4wYTANJAAAB connected
[2023-3-22 16:48:43] 	 ⚡: SQcebpGyCAoOqyEzAAAB connected
[2023-3-22 16:48:47] 	 ⚡: Ohmkj6VlswnMuIB7AAAB connected
[2023-3-22 16:48:51] 	 🟢: Right went online
[2023-3-22 16:48:51] 	 🔥: Ohmkj6VlswnMuIB7AAAB disconnected
[2023-3-22 16:48:54] 	 ⚡: aACiHINEa_PGFW9OAAAD connected
[2023-3-22 16:48:54] 	 🔃: Right rejoined 8b1557
[2023-3-22 16:48:56] 	 💰: Paid salary to Right
[2023-3-22 16:48:56] 	 💰: Paid salary to Right
[2023-3-22 16:48:57] 	 💰: Paid salary to Right
[2023-3-22 16:48:58] 	 💰: Paid salary to Right
[2023-3-22 16:48:59] 	 💰: Paid salary to Right
[2023-3-22 16:49:3] 	 🟠: Right went offline
[2023-3-22 16:49:17] 	 🔥: aACiHINEa_PGFW9OAAAD disconnected
[2023-3-22 16:49:17] 	 ➖: Right left 8b1557
[2023-3-22 16:50:1] 	 ⚡: 5pYFdhDaGJedjgVYAAAF connected
[2023-3-22 16:50:1] 	 🔥: 5pYFdhDaGJedjgVYAAAF disconnected
[2023-3-22 16:51:7] 	 ⚡: LsJjq7scCtuMIFrkAAAB connected
[2023-3-22 16:51:7] 	 🔃: Right rejoined 8b1557
[2023-3-22 16:51:9] 	 🔥: LsJjq7scCtuMIFrkAAAB disconnected
[2023-3-22 16:51:9] 	 ➖: Right left 8b1557
[2023-3-22 16:51:10] 	 ⚡: 3dqxxK2QD2bpXSH2AAAD connected
[2023-3-22 16:51:10] 	 🔃: Right rejoined 8b1557
[2023-3-22 16:51:11] 	 💰: Paid salary to Right
[2023-3-22 16:51:11] 	 💰: Paid salary to Right
[2023-3-22 16:51:12] 	 💰: Paid salary to Right
[2023-3-22 16:51:12] 	 💰: Paid salary to Right
[2023-3-22 16:51:13] 	 💰: Paid salary to Right
[2023-3-22 16:51:13] 	 💰: Paid salary to Right
[2023-3-22 16:51:13] 	 💰: Paid salary to Right
[2023-3-22 16:51:13] 	 💰: Paid salary to Right
[2023-3-22 16:51:14] 	 💰: Paid salary to Right
[2023-3-22 16:51:14] 	 💰: Paid salary to Right
[2023-3-22 16:51:14] 	 💰: Paid salary to Right
[2023-3-22 16:51:14] 	 💰: Paid salary to Right
[2023-3-22 16:51:21] 	 🫱🏽‍🫲🏽: Right paid ₹5000 to the Bank
[2023-3-22 16:51:28] 	 🟠: Right went offline
[2023-3-22 16:51:30] 	 🟢: Right went online
[2023-3-22 16:51:36] 	 🟠: Right went offline
[2023-3-22 16:55:46] 	 🟢: Right went online
[2023-3-22 16:55:47] 	 🟠: Right went offline
[2023-3-22 16:55:48] 	 🟢: Right went online
[2023-3-22 16:55:50] 	 🔥: 3dqxxK2QD2bpXSH2AAAD disconnected
[2023-3-22 16:55:50] 	 ➖: Right left 8b1557
[2023-3-22 16:56:5] 	 ⚡: PMTSJdXCPizd1OT9AAAF connected
[2023-3-22 16:56:5] 	 🔃: Right rejoined 8b1557
[2023-3-22 16:56:8] 	 💰: Paid salary to Right
[2023-3-22 16:56:8] 	 💰: Paid salary to Right
[2023-3-22 16:56:9] 	 💰: Paid salary to Right
[2023-3-22 16:56:12] 	 🫱🏽‍🫲🏽: Right paid ₹200 to the Bank
[2023-3-22 16:56:15] 	 🟠: Right went offline
[2023-3-22 16:56:26] 	 🟢: Right went online
[2023-3-22 16:56:27] 	 💰: Paid salary to Right
[2023-3-22 16:56:27] 	 💰: Paid salary to Right
[2023-3-22 16:56:30] 	 🫱🏽‍🫲🏽: Right received ₹200 from the Bank
[2023-3-22 16:56:36] 	 🟠: Right went offline
[2023-3-22 16:57:29] 	 🔥: PMTSJdXCPizd1OT9AAAF disconnected
[2023-3-22 16:57:29] 	 ➖: Right left 8b1557
[2023-3-22 17:4:33] 	 ⚡: h0oPCbDulCM4D_L2AAAB connected
[2023-3-22 17:4:33] 	 🔃: Right rejoined 8b1557
[2023-3-22 17:4:38] 	 🔥: h0oPCbDulCM4D_L2AAAB disconnected
[2023-3-22 17:4:38] 	 ➖: Right left 8b1557
[2023-3-22 17:4:41] 	 ⚡: uLKsUp_ebfl9jNpsAAAD connected
[2023-3-22 17:4:41] 	 🔃: Right rejoined 8b1557
[2023-3-22 17:5:17] 	 🔥: uLKsUp_ebfl9jNpsAAAD disconnected
[2023-3-22 17:5:17] 	 ➖: Right left 8b1557
[2023-3-22 17:5:18] 	 ⚡: z-sgZR5cYqY6mtfnAAAF connected
[2023-3-22 17:5:18] 	 🔃: Right rejoined 8b1557
[2023-3-22 17:5:23] 	 🟠: Right went offline
[2023-3-22 17:6:16] 	 🟢: Right went online
[2023-3-22 17:6:16] 	 🔥: z-sgZR5cYqY6mtfnAAAF disconnected
[2023-3-22 17:6:16] 	 ➖: Right left 8b1557
